"","str4","N"
"1"," a",693
"2"," b",151
"3"," c",295
"4"," d",319
"5"," e",1749
"6"," f",155
"7"," g",285
"8"," h",148
"9"," i",601
"10"," j",14
"11"," k",338
"12"," l",543
"13"," m",279
"14"," n",535
"15"," o",482
"16"," p",281
"17"," q",1
"18"," r",467
"19"," s",360
"20"," t",643
"21"," u",265
"22"," v",98
"23"," w",92
"24"," x",8
"25"," y",67
"26"," z",69
