"","str12","N"
"1"," aa",3
"2"," ab",38
"3"," ac",26
"4"," ad",28
"5"," ae",5
"6"," af",8
"7"," ag",32
"8"," ah",4
"9"," ai",15
"10"," aj",2
"11"," ak",3
"12"," al",70
"13"," am",45
"14"," an",45
"15"," ao",1
"16"," ap",24
"17"," aq",2
"18"," ar",52
"19"," as",24
"20"," at",16
"21"," au",20
"22"," av",12
"23"," aw",10
"24"," ax",14
"25"," ay",2
"26"," az",12
"27"," ba",108
"28"," be",86
"29"," bh",3
"30"," bi",72
"31"," bl",66
"32"," bo",109
"33"," br",86
"34"," bu",84
"35"," bw",1
"36"," by",6
"37"," ca",123
"38"," ce",34
"39"," ch",103
"40"," ci",22
"41"," cl",71
"42"," cn",1
"43"," co",169
"44"," cr",76
"45"," cu",64
"46"," cy",17
"47"," cz",1
"48"," da",55
"49"," de",95
"50"," dh",7
"51"," di",77
"52"," dj",2
"53"," do",99
"54"," dr",60
"55"," du",62
"56"," dw",5
"57"," dy",8
"58"," ea",16
"59"," eb",5
"60"," ec",5
"61"," ed",10
"62"," ee",1
"63"," eg",7
"64"," ei",4
"65"," ej",1
"66"," ek",1
"67"," el",19
"68"," em",20
"69"," en",24
"70"," eo",1
"71"," ep",10
"72"," eq",3
"73"," er",14
"74"," es",9
"75"," et",10
"76"," eu",1
"77"," ev",9
"78"," ew",1
"79"," ex",20
"80"," ey",7
"81"," fa",79
"82"," fe",57
"83"," fi",70
"84"," fj",2
"85"," fl",77
"86"," fo",58
"87"," fr",49
"88"," fu",46
"89"," fy",3
"90"," ga",84
"91"," ge",38
"92"," gh",8
"93"," gi",39
"94"," gl",59
"95"," gn",8
"96"," go",58
"97"," gr",77
"98"," gu",49
"99"," gw",1
"100"," gy",12
"101"," ha",100
"102"," he",69
"103"," hi",35
"104"," ho",97
"105"," hu",33
"106"," hy",15
"107"," ia",2
"108"," ic",8
"109"," id",10
"110"," ig",3
"111"," ih",1
"112"," ik",2
"113"," il",9
"114"," im",16
"115"," in",38
"116"," io",5
"117"," ir",9
"118"," is",7
"119"," it",3
"120"," iv",3
"121"," ix",3
"122"," iz",1
"123"," ja",32
"124"," je",23
"125"," ji",21
"126"," jn",1
"127"," jo",30
"128"," ju",32
"129"," ka",42
"130"," kb",1
"131"," ke",39
"132"," kh",10
"133"," ki",40
"134"," kl",6
"135"," kn",26
"136"," ko",24
"137"," kr",11
"138"," ku",11
"139"," kv",2
"140"," ky",8
"141"," la",98
"142"," le",64
"143"," li",88
"144"," ll",2
"145"," lo",98
"146"," lu",47
"147"," lw",1
"148"," ly",18
"149"," ma",131
"150"," mb",1
"151"," me",65
"152"," mi",82
"153"," mo",108
"154"," mu",62
"155"," my",11
"156"," na",54
"157"," ne",42
"158"," ng",1
"159"," ni",38
"160"," no",52
"161"," nu",18
"162"," ny",3
"163"," oa",10
"164"," ob",11
"165"," oc",13
"166"," od",11
"167"," of",6
"168"," og",8
"169"," oh",3
"170"," oi",4
"171"," ok",4
"172"," ol",11
"173"," om",7
"174"," on",7
"175"," oo",6
"176"," op",10
"177"," or",24
"178"," os",5
"179"," ot",4
"180"," ou",15
"181"," ov",11
"182"," ow",5
"183"," ox",8
"184"," oy",1
"185"," oz",1
"186"," pa",121
"187"," pe",81
"188"," ph",14
"189"," pi",78
"190"," pl",48
"191"," po",83
"192"," pr",74
"193"," ps",7
"194"," pu",63
"195"," py",12
"196"," qa",3
"197"," qo",1
"198"," qu",52
"199"," ra",105
"200"," re",139
"201"," rh",8
"202"," ri",57
"203"," ro",78
"204"," ru",43
"205"," ry",4
"206"," sa",111
"207"," sc",71
"208"," se",83
"209"," sh",117
"210"," si",71
"211"," sk",47
"212"," sl",67
"213"," sm",25
"214"," sn",45
"215"," so",87
"216"," sp",100
"217"," sq",7
"218"," st",134
"219"," su",52
"220"," sw",53
"221"," sy",14
"222"," ta",108
"223"," te",74
"224"," th",57
"225"," ti",50
"226"," to",102
"227"," tr",86
"228"," ts",5
"229"," tu",44
"230"," tw",22
"231"," ty",18
"232"," tz",1
"233"," ud",2
"234"," uh",1
"235"," uk",1
"236"," ul",11
"237"," um",9
"238"," un",56
"239"," up",9
"240"," ur",19
"241"," us",9
"242"," ut",3
"243"," uv",3
"244"," va",36
"245"," ve",40
"246"," vi",53
"247"," vo",29
"248"," vr",3
"249"," vu",5
"250"," vy",1
"251"," wa",76
"252"," we",37
"253"," wh",55
"254"," wi",63
"255"," wo",40
"256"," wr",23
"257"," wu",3
"258"," wy",6
"259"," xe",7
"260"," xy",6
"261"," ya",25
"262"," yc",1
"263"," ye",21
"264"," yi",8
"265"," yl",1
"266"," yo",29
"267"," yu",15
"268"," za",8
"269"," ze",10
"270"," zi",14
"271"," zl",2
"272"," zo",20
"273"," zu",1
"274"," zy",1
