"","str3","N"
"1"," a",866
"2"," b",231
"3"," c",286
"4"," d",285
"5"," e",580
"6"," f",126
"7"," g",253
"8"," h",70
"9"," i",763
"10"," j",26
"11"," k",158
"12"," l",609
"13"," m",353
"14"," n",659
"15"," o",696
"16"," p",255
"17"," q",8
"18"," r",822
"19"," s",354
"20"," t",450
"21"," u",456
"22"," v",169
"23"," w",159
"24"," x",94
"25"," y",123
"26"," z",87
