"","str45","N"
"1"," ab",7
"2"," ac",8
"3"," ad",30
"4"," ae",27
"5"," af",4
"6"," ag",5
"7"," ah",16
"8"," ai",8
"9"," ak",18
"10"," al",126
"11"," am",21
"12"," an",71
"13"," ao",2
"14"," ap",10
"15"," aq",1
"16"," ar",70
"17"," as",185
"18"," at",34
"19"," au",1
"20"," av",1
"21"," aw",9
"22"," ax",9
"23"," ay",29
"24"," az",1
"25"," ba",12
"26"," be",18
"27"," bi",10
"28"," bo",15
"29"," bs",60
"30"," bt",1
"31"," bu",1
"32"," by",34
"33"," ca",17
"34"," ce",47
"35"," ch",99
"36"," ci",10
"37"," ck",63
"38"," co",12
"39"," cs",20
"40"," ct",16
"41"," cy",11
"42"," da",8
"43"," dd",1
"44"," de",51
"45"," di",10
"46"," do",19
"47"," ds",156
"48"," dt",2
"49"," du",3
"50"," dy",69
"51"," ea",12
"52"," eb",5
"53"," ec",6
"54"," ed",398
"55"," ee",39
"56"," ef",6
"57"," eg",3
"58"," eh",1
"59"," ei",7
"60"," ek",12
"61"," el",75
"62"," em",10
"63"," en",75
"64"," eo",9
"65"," ep",15
"66"," er",367
"67"," es",548
"68"," et",66
"69"," eu",2
"70"," ev",1
"71"," ew",11
"72"," ex",17
"73"," ey",64
"74"," fa",5
"75"," fe",4
"76"," ff",26
"77"," fi",1
"78"," fo",3
"79"," fs",76
"80"," ft",16
"81"," fu",1
"82"," fy",23
"83"," ga",18
"84"," ge",63
"85"," gg",1
"86"," gh",23
"87"," gi",7
"88"," gn",6
"89"," go",27
"90"," gs",89
"91"," gy",51
"92"," ha",10
"93"," he",24
"94"," hi",8
"95"," hm",1
"96"," hn",1
"97"," ho",8
"98"," hs",49
"99"," ht",18
"100"," hu",4
"101"," hy",25
"102"," ia",43
"103"," ib",2
"104"," ic",79
"105"," id",66
"106"," ie",49
"107"," if",5
"108"," ig",7
"109"," ii",5
"110"," ik",9
"111"," il",37
"112"," im",12
"113"," in",85
"114"," io",11
"115"," ip",12
"116"," ir",18
"117"," is",95
"118"," it",48
"119"," ix",16
"120"," iz",2
"121"," ja",4
"122"," jd",1
"123"," je",2
"124"," ji",5
"125"," jo",2
"126"," ka",15
"127"," ke",28
"128"," ki",3
"129"," ko",11
"130"," ks",193
"131"," ku",2
"132"," ky",86
"133"," la",30
"134"," ld",22
"135"," le",94
"136"," lf",1
"137"," li",11
"138"," lk",7
"139"," ll",44
"140"," lm",6
"141"," ln",1
"142"," lo",12
"143"," lp",4
"144"," ls",182
"145"," lt",23
"146"," lu",1
"147"," ly",105
"148"," ma",36
"149"," mb",9
"150"," md",1
"151"," me",37
"152"," mi",10
"153"," mo",12
"154"," mp",31
"155"," ms",94
"156"," my",49
"157"," na",29
"158"," nc",3
"159"," nd",32
"160"," ne",63
"161"," ng",66
"162"," ni",7
"163"," nk",44
"164"," nn",1
"165"," no",13
"166"," nq",1
"167"," ns",162
"168"," nt",56
"169"," nu",1
"170"," ny",57
"171"," oa",2
"172"," ob",7
"173"," oc",3
"174"," od",13
"175"," oe",4
"176"," of",7
"177"," og",6
"178"," oi",6
"179"," ok",11
"180"," ol",27
"181"," om",15
"182"," on",91
"183"," oo",11
"184"," op",19
"185"," or",52
"186"," os",126
"187"," ot",40
"188"," ou",6
"189"," ow",19
"190"," ox",5
"191"," oy",11
"192"," oz",1
"193"," pa",13
"194"," pe",32
"195"," ph",13
"196"," pi",6
"197"," po",4
"198"," ps",129
"199"," pt",29
"200"," pu",2
"201"," py",53
"202"," qa",1
"203"," ra",40
"204"," rb",4
"205"," rd",22
"206"," re",61
"207"," rf",6
"208"," rg",1
"209"," rh",1
"210"," ri",13
"211"," rk",14
"212"," rl",14
"213"," rm",13
"214"," rn",19
"215"," ro",20
"216"," rp",9
"217"," rr",7
"218"," rs",113
"219"," rt",35
"220"," ru",2
"221"," ry",73
"222"," sa",13
"223"," se",103
"224"," sh",43
"225"," si",6
"226"," sk",7
"227"," sm",9
"228"," so",14
"229"," sp",5
"230"," ss",34
"231"," st",73
"232"," sy",52
"233"," sz",1
"234"," ta",47
"235"," te",82
"236"," th",62
"237"," ti",14
"238"," to",24
"239"," ts",293
"240"," tt",6
"241"," tu",4
"242"," ty",101
"243"," tz",10
"244"," ua",4
"245"," ub",4
"246"," ud",6
"247"," ue",25
"248"," ug",4
"249"," ui",2
"250"," uk",2
"251"," ul",12
"252"," um",39
"253"," un",9
"254"," up",16
"255"," ur",17
"256"," us",94
"257"," ut",26
"258"," uw",1
"259"," ux",2
"260"," uy",1
"261"," uz",1
"262"," va",11
"263"," ve",62
"264"," vi",3
"265"," vo",5
"266"," vs",3
"267"," vy",14
"268"," wa",2
"269"," wd",1
"270"," we",2
"271"," wl",8
"272"," wm",1
"273"," wn",19
"274"," wp",1
"275"," ws",50
"276"," wy",8
"277"," xt",1
"278"," xy",7
"279"," ya",5
"280"," yd",2
"281"," ye",6
"282"," yl",12
"283"," ym",1
"284"," yn",2
"285"," yp",1
"286"," yr",1
"287"," ys",34
"288"," yt",1
"289"," yu",1
"290"," yx",1
"291"," za",12
"292"," ze",26
"293"," zh",1
"294"," zi",1
"295"," zo",5
"296"," zu",2
"297"," zy",17
"298"," zz",5
