sah, POS, translation
атыылаа=,v.,to sell
атыылас=,v.,to buy
атыыр,n.,stallion;
атыыр сибиинньэ,n.,boar;
атыыр оҕус,n.,stud
аудитория,n.,audience [<Russ.]
ах,n.,rancidity;
ахтаах,a.,rancid
ах=,v.,"to stop flowing, to cause to clot"
ахсаа=,v.,"to weaken, lessen;"
ахсат=,v.,to make weak
ахсаан,n.,"account, number"
ахсынньы,n.,December
ахсыс,num.,eighth;
ахсынньы,n.,December
аһаа=,v.,to eat
аһаҕас,a.,open;
аһаҕас дорҕоон,n.,vowel
аһар=,v.,"to let through, allow to pass"
аһарыы,n.,comp. autologin
аһат=,v.,to feed (animals)
аһын=,v.,to feel sorry for;
аһыныгас,a.,compassionate
аһыҥа,n.,"locust, grasshopper"
аһыы,a.,"sour, acrid, bitter, salty;"
аһыы сүөргэй,n.,sour cream;
аһыы,n.,molar
ача,n.,mountain sedge
ачаа,a.,"spoiled, capricious"
аччыгый,a.,"small, tiny"
аччык,a.,hungry
баа,ono.,"low voice, bass;"
баа гын=,v.,to speak in a low voice;
баай,a.,"rich, wealthy;"
баай-күүс,n.,wealth and power;
баай дуол, , 
баай=,v.,"to tie, bind;"
баас=,v.,"to bind (together, one another);"
баайыс=,v.,"to carp at, cavil at, find fault with"
баак,n.,fact [<Russ. факт] (cf баах)
баалаа=,v.,"to force, compel"
баан,n.,bank [<Russ. банк]
баанньык,n.,"bath, bathhouse [<Russ. баня]"
баар,v.,"there is/are, there exists;"
баар,a.,comp. active
баарыын,adv.,recently (cf маарыын)
баас,n.,wound;
бааһыр=,v.,to be wounded
баата,n.,"wadding, batting, quilting [<Russ. вата]"
баах,n.,fact [<Russ. факт] (cf баак)
бааһына,n.,"field, pasture [<Russ. пашня]"
бааччай=,v.,to complicate;
бааччах,n.,complication
багдай=,v.,to have broad shoulders;
багдаҕар,a.,broad-
баҕа,n.,desire;
баҕар=,v.,to desire
баҕа,n.,frog;
баҕа батаһы,n.,iris (flower)
баҕана,n.,"peg, post (cf. маҕана)"
бадараан,n.,"swamp, marsh"
бай,exc.,"Well!, Oh my!"
бай=,v.,to become rich
байаҕал,n.,"ocean, sea;"
Байаҕал,n.,Lake Baikal
бала,adv.,"much, greatly, abundantly"
"балаакка, балаатка",n.,tent [<Russ. палатка]
балаҕан,n.,"yurt, house;"
балаҕан ыйа,n.,September
балаҕан ыйа,n.,September
баланыысса,n.,hospital [<Russ. больница]
балбаах,n.,dung heap
баллырҕаа=,v.,to blabber;
баллырҕас,a.,blabbering
балык,n.,fish;
балыктаа=,v.,to fish;
"балыксыт, балыкчыт",n.,
балыс,n.,sister (younger);
балтым,n.,my younger sister
балыыта,n.,"valyuta, currency [<Russ. валюта]"
бар,ono.,Roar!;
бар гын=,v.,to roar
бар=,v.,to brew (of tea)
бар=,v.,"to go, leave, depart;"
барыы,n.,"departure, leaving;"
кэлии,,
бараа=,v.,to spend
бараан,a.,dark
барабыай,n.,sparrow [<Russ. воробей]
баран,pp.,after
барбах,a.,"insignificant, unimportant"
барнак,n.,"criminal, fugitive"
барча,n.,brocade [<Russ. парча]
бары,a.,all
барыанньа,n.,"jam, jelly"
барый=,v.,to appear dimly in the distance
барыл,n.,"sketch, outline"
барымтыа,a.,strong (of tea)
барыта,n.,index
бас,n.,"head, beginning;"
бастаан,adv.,"from the beginning, at first;"
бас=,v.,to fetch (water)
басса,a.,this much
басый=,v.,to master
бат=,v.,"to chase, pursue, drive"
бат=,v.,to fit into
батаҥа,n.,leather purse
батас,n.,"large knife, lance;"
баҕа батаһы,n.,iris (flower)
баттаа=,v.,"to press, oppress, pursue;"
баттааһын,n.,pressure;
баттах,n.,"hair, hairs"
батыс=,v.,"to follow, pursue, chase, go after"
бахчай=,v.,to straddle
"баһаалысса, баһаалыста",exc.,Please! [<Russ. пожалуйста]
баһаам,a.,abundant
баһаар,n.,"bazaar, market"
баһый,v.,to master
баһымньы,n.,hoe
баһырҕаа=,v.,to buzz;
баһырҕас,a.,buzzing
баһыыба,exc.,"Thanks!,"
баһыыба,n.,"thanks, gratitude [<Russ. спасибо];"
бензин,n.,"gasoline, benzene, petrol [<Russ.]"
библиотека,n.,library [<Russ.]
бигэргэтии,n.,comp. confirm
бии,n.,"elder, older"
биибэ,n.,beer [<Russ. пиво]
биилкэ,n.,fork [<Russ. вилка]
биир,num.,"one, 1, a/an"
биис,n.,"sort, type"
биит,n.,comp. bit;
биит түргэнэ,n.,bitrate
биитэр,conj.,"or (cf биэтэр, эбэтэр)"
бииһэк,n.,list [<Russ. список] (cf. испииһэк)
бил,n.,Siberian salmon (Onchorhynchus sp.)
бил=,v.,to know;
билис=,v.,to become acquainted with;
билигэс,a.,
билгэ,n.,prognosis
били,pro.,that
билигин,adv.,"now, presently"
билигэс,a.,"curious, inquisitive"
билии,n.,data;
билии олоҕо,n.,database
билиидэ,n.,"range, stove [<Russ. плита]"
билиэт,n.,ticket [<Russ. билет]
биллэр=,v.,"to communicate, declare;"
биллэрил=,v.,to be made
билэ,n.,comp. file
бинтиэпкэ,n.,(automatic) rifle [<Russ. винтовка]
бирибиэт,int.,Hello! [<Russ привет]
биригэдьиир,n.,"brigadier, team member [<Russ. бригадир]"
биригээдэ,n.,"brigade, team [<Russ. бригада]"
бириһээ=,v.,to admire;
бириһэм,n.,admiration
бириэмийэ,n.,"prize, premium [<Russ. премия];"
бириэмийэлээ=,v.,
бириэрмэ,n.,time (conceptually) [<Russ. время]
бис=,v.,"to grease, oil, smear"
биһиги,pro.,we
биһик,n.,cradle
биһирэммит,a.,"popular, hot"
биһирээ=,v.,"to like, admire;"
биһирэм,n.,admiration
биэ,n.,mare
биэдэрэ,n.,pail [<Russ. ведро]
биэр=,v.,to give;
"биэрил=, бэрил=",v.,to be given; =ан биэр=
биэс,num.,"five, 5"
биэчэр,n.,"evening, an evening of entertainment [<Russ. вечер]"
боб,n.,"bean, beans"
бодо,n.,appearance;
дьүһүн-бодо,n.,appearance
бодьоо=,v.,"to set a timeframe, deadline;"
бодьох,n.,timeframe
болоор=,v.,to become blurred;
болоорхой,a.,blurry
болуот,n.,"raft, float [<Russ. флот]"
болуотунньук,n.,carpenter [<Russ. плотник]
бомба,n.,bomb
боотур,n.,epic hero [<Mong. bağatur]
боп=,v.,"to forbid, prohibit"
боппуроус,n.,"question, problem, matter, affair [<Russ. вопрос]"
бор,a.,"undemanding with respect to food, enduring"
"боробулуоха, борубулуоха",n.,wire [<Russ. проволока]
борогуул,n.,"stroll, walk [<Russ. прогул=]"
бородуукта,n.,product [<Russ. продуkт]
борокуот,n.,steamship [<Russ. параxод]
бороҥ,a.,"gray/grey, brown"
боронньу,n.,harrow [<Russ. борона];
боронньулаа=,v.,to harrow
боростуой,a.,"simple, plain [<Russ. простой]"
боросуонак,n.,"shoat, piglet [<Russ. поросëнок]"
боротокуол,n.,"protocol, first minutes of a meeting [<Russ."
борошко,n.,yearling calf
бортунуой,n.,tailor [<Russ. портной]
борук-сорук,a.,"half-light, half-dark"
боруу,n.,horsetail (plant – Equisetum sp.)
бостуух,n.,"herdsman, shepherd [<Russ. пастуx]"
босхо,a.,"free, unencumbered, unattached; cheap;"
босхолоо=,v.,to
ботугунай=,v.,to whisper
ботуруон,n.,"cartridge, shell [<Russ. патрон]"
бочугурас,n.,"hazel grouse, ruffed grouse (Bonasa sp.)"
бөҕө,a.,"strong, firm, sturdy"
бөдөҥ,a.,"big, powerful"
бөлкөй,n.,islet
бөлөх,n.,"group, division, compartment, section"
бөлүүн,adv.,in past years
бөрө,n.,wolf;
бөрөһүт,n.,wolf hunter;
бөрөлөө=,v.,to hunt wolves
бөрөө=,v.,"to wrap, cloak, envelop, cover"
бөт=,v.,to hiccup
бөтүүк,n.,"cock, rooster [<Russ. петуx]"
бөх,n.,"garbage, trash, junk, rubbish;"
бөх-сах,n.,rubbish
бөһүөлэк,n.,"village, settlement, inhabited place [<Russ. посëлок]"
бугул,n.,"stack, pile, rick (of hay, wood, etc.);"
бугуллаа=,v.,to stack
бука,adv.,"namely, definitely;"
букатын,adv.,"quite, wholly"
бул=,v.,"to find, locate, get;"
булумтуо,a.,able to find;
булугас,a.,
булгуньах,n.,"peak, summit"
булкуй=,v.,"to confuse; to mix, stir;"
булкуур,n.,confusion
булт,n.,"prize, booty, goods, loot, prey;"
бултаа=,v.,"to hunt, catch"
булугас,a.,resourceful
булуук,n.,plow [<Russ. плуг]
булчут,n.,hunter
буобар,n.,"cook, chef [<Russ. повар]"
буоҕу,n.,prohibition
буой=,v.,"to forbid, prohibit; to quiet, calm, stop"
буол=,v.,"to be, become"
буом,n.,"obstacle, hindrance"
буор,n.,"ground, soil, dirt, clay;"
буордаах,n.,"earthy, having"
буорах,n.,"powder, gunpowder [<Russ. пороx]"
буорту,n.,"harm, damage [<Russ. порть];"
буортулаа=,v.,to harm
буос,a.,pregnant (of animals)
буот=,v.,"to calm, to quiet"
буоһа,n.,"reins, straps; (cf муоһа)"
буоһалаа=,v.,to rein in
буочука,n.,"barrel, cask [<Russ. бочка]"
бурай=,v.,to make scatter;
буралын=,v.,"to scatter, be scattered"
бургунас,n.,heifer
бурдук,n.,"grain, crop;"
бурдук астааһына,n.,threshing;
бурдук,,
буруй,n.,guilt;
эрэй-буруй,n.,"suffering, hardship"
буруй=,v.,to twist something
буруо,n.,smoke;
буруолаа=,v.,"to smoke, to give off smoke"
бус=,v.,"to cook, to boil, to be ready to eat;"
буһар=,v.,to cook
бус=,v.,to ripen
бутугас,n.,soup
бутуй=,v.,"to mix, stir"
буу,ono.,Wheeze!;
буу гын=,v.,to wheeze
бууйла,n.,bullet [<Russ. пуля]
буулдьа,n.,"bullet, onslaught, attack [<Russ. пуля]"
буулка,n.,"roll, bun [<Russ. булка]"
буурҕа,n.,"storm, snowstorm [<Russ. пурга]"
