"","str2","N"
"1"," a",1530
"2"," b",56
"3"," c",124
"4"," d",61
"5"," e",1110
"6"," f",14
"7"," g",51
"8"," h",391
"9"," i",1001
"10"," j",7
"11"," k",58
"12"," l",519
"13"," m",122
"14"," n",251
"15"," o",1384
"16"," p",153
"17"," q",12
"18"," r",663
"19"," s",66
"20"," t",170
"21"," u",822
"22"," v",40
"23"," w",99
"24"," x",45
"25"," y",173
"26"," z",16
