"","str5","N"
"1"," a",389
"2"," b",38
"3"," c",99
"4"," d",595
"5"," e",949
"6"," f",55
"7"," g",93
"8"," h",259
"9"," i",153
"10"," k",187
"11"," l",355
"12"," m",128
"13"," n",380
"14"," o",239
"15"," p",123
"16"," q",2
"17"," r",532
"18"," s",2785
"19"," t",491
"20"," u",33
"21"," v",2
"22"," w",40
"23"," x",50
"24"," y",940
"25"," z",21
